T [20260828 194200][14.074] CQ N6HAN CM87 2358
R [20260828 194227][14.074] CQ K4YT FM19 1 2738
R [20260828 194228][14.074] CQ W7KR DN17 10 1556
R [20260828 194228][14.074] K0WML K7EBO 73 -4 2244
R [20260828 194228][14.074] Z62NS K0SH EN23 4 1862
R [20260828 194228][14.074] N8DPD W0RW DM78 12 1144
R [20260828 194228][14.074] CQ W0ADE DN40 16 838
R [20260828 194228][14.074] K1CXW KF0MZU DM79 2 1638
R [20260828 194228][14.074] N8DPD KI7DAN DN40 1 2394
R [20260828 194228][14.074] RI1FJL VE3OP FN25 3 1350
R [20260828 194228][14.074] N6MTX K1AF -17 -2 2312
R [20260828 194229][14.074] W0SS N0RC EM29 2 2506
R [20260828 194229][14.074] CQ KB5YNF EM45 2 1494
T [20260828 194230][14.074] CQ N6HAN CM87 1805
R [20260828 194257][14.074] Z62NS K0SH EN23 6 1862
R [20260828 194257][14.074] CQ W0ADE DN40 12 838
R [20260828 194258][14.074] AI6MC W7KR -07 28 1562
R [20260828 194258][14.074] N6MTX K1AF -22 0 2312
R [20260828 194258][14.074] N8DPD KB7ZTI CN88 2 1031
R [20260828 194258][14.074] CQ K4YT FM19 2 2738
R [20260828 194258][14.074] VA7GEM W5TRL EM10 2 1269
R [20260828 194258][14.074] N8DPD KI7DAN DN40 0 2388
R [20260828 194259][14.074] W0SS N0RC EM29 6 2506
R [20260828 194259][14.074] Z62NS N9WHM EN12 16 650
T [20260828 194300][14.074] CQ N6HAN CM87 1798
R [20260828 194327][14.074] VA7GEM W5TRL R-25 10 1269
R [20260828 194327][14.074] CQ W0ADE DN40 10 831
R [20260828 194328][14.074] AI6MC W7KR -10 25 1562
R [20260828 194328][14.074] N8DPD KB7ZTI CN88 8 1031
R [20260828 194328][14.074] Z62NS K0SH EN23 3 1862
R [20260828 194328][14.074] CQ K4YT FM19 -7 2731
R [20260828 194328][14.074] N8DPD W0RW DM78 10 956
R [20260828 194328][14.074] <...> K7EBO DN31 4 1631
R [20260828 194328][14.074] AD6DL KC7WDL CN87 10 2119
R [20260828 194328][14.074] N8DPD KI7DAN DN40 -2 2388
R [20260828 194329][14.074] N8DPD K0DTM -19 2 2194
R [20260828 194329][14.074] N6MTX K1AF -22 8 2312
R [20260828 194329][14.074] W0SS N0RC R-01 1 2506
T [20260828 194330][14.074] CQ N6HAN CM87 2099
R [20260828 194357][14.074] AI6MC W7KR RR73 13 1562
R [20260828 194357][14.074] CQ W0ADE DN40 10 838
R [20260828 194358][14.074] AD6DL KK7MEH CN87 21 1769
R [20260828 194358][14.074] CQ K4YT FM19 0 2738
R [20260828 194358][14.074] N9MSG AI5OS EM10 27 1494
R [20260828 194358][14.074] Z62NS K0SH EN23 11 1862
R [20260828 194358][14.074] VA7GEM W5TRL 73 16 1269
R [20260828 194358][14.074] N6MTX K1AF -22 2 2319
R [20260828 194358][14.074] N8DPD K0DTM -19 -9 2194
R [20260828 194359][14.074] N3RC VA3ZYW 73 14 1681
R [20260828 194359][14.074] N8DPD KI7DAN DN40 -6 2388
R [20260828 194359][14.074] W0SS N0RC 73 6 2506
